scenario,display_name,metric,ratio,passes_screen
reference_extrapolation,Reference extrapolation,energy_adequacy_ratio,0.030594435906956617,False
reference_extrapolation,Reference extrapolation,robot_adequacy_ratio,0.09697672110604222,False
reference_extrapolation,Reference extrapolation,storage_adequacy_ratio,0.25,False
reference_extrapolation,Reference extrapolation,budget_adequacy_ratio,0.1111111111111111,False
reference_extrapolation,Reference extrapolation,terminal_capacity_ratio,0.030594435906956617,False
reference_extrapolation,Reference extrapolation,net_target_ratio_vs_current_emissions,0.29411764705882354,False
fast_learning_energy_constrained,"Fast learning, energy constrained",energy_adequacy_ratio,0.19584764829429993,False
fast_learning_energy_constrained,"Fast learning, energy constrained",robot_adequacy_ratio,1.7861721566927564,True
fast_learning_energy_constrained,"Fast learning, energy constrained",storage_adequacy_ratio,0.6,False
fast_learning_energy_constrained,"Fast learning, energy constrained",budget_adequacy_ratio,0.4444444444444444,False
fast_learning_energy_constrained,"Fast learning, energy constrained",terminal_capacity_ratio,0.19584764829429993,False
fast_learning_energy_constrained,"Fast learning, energy constrained",net_target_ratio_vs_current_emissions,0.8650519031141869,False
aether_portfolio_push,AETHER portfolio push,energy_adequacy_ratio,1.1612448585014006,True
aether_portfolio_push,AETHER portfolio push,robot_adequacy_ratio,13.695273952096796,True
aether_portfolio_push,AETHER portfolio push,storage_adequacy_ratio,1.05,True
aether_portfolio_push,AETHER portfolio push,budget_adequacy_ratio,1.0714285714285714,True
aether_portfolio_push,AETHER portfolio push,terminal_capacity_ratio,1.0,True
aether_portfolio_push,AETHER portfolio push,net_target_ratio_vs_current_emissions,1.2110726643598617,True
moonshot_low_energy,Moonshot low-energy,energy_adequacy_ratio,1.9722380524458194,True
moonshot_low_energy,Moonshot low-energy,robot_adequacy_ratio,54.83782221582445,True
moonshot_low_energy,Moonshot low-energy,storage_adequacy_ratio,1.2,True
moonshot_low_energy,Moonshot low-energy,budget_adequacy_ratio,1.7142857142857142,True
moonshot_low_energy,Moonshot low-energy,terminal_capacity_ratio,1.0,True
moonshot_low_energy,Moonshot low-energy,net_target_ratio_vs_current_emissions,1.5570934256055364,True
rebound_failure,High-rebound failure,energy_adequacy_ratio,1.1612448585014006,True
rebound_failure,High-rebound failure,robot_adequacy_ratio,13.695273952096796,True
rebound_failure,High-rebound failure,storage_adequacy_ratio,1.05,True
rebound_failure,High-rebound failure,budget_adequacy_ratio,1.0714285714285714,True
rebound_failure,High-rebound failure,terminal_capacity_ratio,1.0,True
rebound_failure,High-rebound failure,net_target_ratio_vs_current_emissions,0.08650519031141869,False
